Frame number,6894
First frame,1
Point frequency,200
Analog frequency,1000

Time,Force.Fx1,Force.Fy1,Force.Fz1,Force.Fx2,Force.Fy2,Force.Fz2,accel.x,accel.y,accel.z,accel.x,accel.y,accel.z
s,N,N,N,N,N,N,mm/s�,mm/s�,mm/s�,mm/s�,mm/s�,mm/s�
0.138,-0.00706335,-0.0969078,-0.0960149,2.05956e-07,-2.72286e-07,1.51882e-06,-28.7131,4.50428,-31.2445,-8.29442,37.244,11.9954
0.139,-0.00603844,-0.118581,-0.11358,2.21186e-07,-2.6898e-07,1.72988e-06,-27.7414,4.34856,-31.1564,-8.29737,36.8806,11.9982
0.14,-0.00300367,-0.131688,-0.120578,2.01808e-07,-2.07454e-07,1.73825e-06,-26.8449,4.22436,-31.0649,-8.3385,36.5146,11.9801
0.141,0.00289749,-0.127177,-0.107745,1.26256e-07,-5.74236e-08,1.39235e-06,-26.0366,4.10459,-30.9617,-8.42233,36.1495,11.9311
0.142,0.0125604,-0.0929581,-0.0630831,-3.13307e-08,2.15428e-07,5.02017e-07,-25.3253,3.96421,-30.8394,-8.55591,35.7879,11.8438
0.143,0.0267623,-0.0141661,0.0276778,-2.98921e-07,6.45321e-07,-1.15062e-06,-24.7141,3.78269,-30.6911,-8.74621,35.4317,11.7131
0.144,0.0459138,0.125812,0.179797,-7.02348e-07,1.25921e-06,-3.78643e-06,-24.1992,3.54615,-30.511,-8.99733,35.0825,11.5352
0.145,0.0697026,0.343185,0.40709,-1.25838e-06,2.06581e-06,-7.58565e-06,-23.7697,3.24859,-30.2949,-9.30773,34.7424,11.3071
0.146,0.096624,0.650091,0.718,-1.96452e-06,3.04033e-06,-1.26205e-05,-23.4082,2.89225,-30.0413,-9.66833,34.4144,11.0267
0.147,0.123411,1.04908,1.10987,-2.78533e-06,4.10485e-06,-1.87606e-05,-23.0924,2.48711,-29.7516,-10.0627,34.102,10.6932
0.148,0.144411,1.52549,1.56129,-3.63537e-06,5.10512e-06,-2.55495e-05,-22.7968,2.04986,-29.4293,-10.4708,33.8081,10.3088
0.149,0.150989,2.03776,2.02268,-4.35996e-06,5.78626e-06,-3.20592e-05,-22.4946,1.60204,-29.0795,-10.8748,33.5339,9.88056
0.15,0.13112,2.50619,2.40573,-4.71613e-06,5.77107e-06,-3.67334e-05,-22.1604,1.16744,-28.7078,-11.263,33.2783,9.42302
0.151,0.0693721,2.80121,2.5731,-4.35763e-06,4.54793e-06,-3.72459e-05,-21.7715,0.769102,-28.3193,-11.6296,33.0391,8.95647
0.152,-0.0524092,2.73347,2.33062,-2.83049e-06,1.47747e-06,-3.04138e-05,-21.3104,0.426353,-27.9177,-11.9714,32.8125,8.50123
0.153,-0.253353,2.04881,1.4256,4.12576e-07,-4.16929e-06,-1.22241e-05,-20.7657,0.152479,-27.5056,-12.2854,32.594,8.07194
0.154,-0.550313,0.433153,-0.444107,5.96762e-06,-1.3126e-05,2.19476e-05,-20.1322,-0.0467866,-27.0843,-12.5675,32.378,7.6767
0.155,-0.952693,-2.46675,-3.60396,1.43919e-05,-2.59824e-05,7.68306e-05,-19.4109,-0.17387,-26.6553,-12.8121,32.158,7.31863
0.156,-1.45499,-6.99897,-8.35248,2.60597e-05,-4.29553e-05,0.000156355,-18.6073,-0.238898,-26.2192,-13.0129,31.9268,6.99675
0.157,-2.0269,-13.4304,-14.8795,4.09493e-05,-6.35684e-05,0.000262248,-17.7307,-0.258351,-25.7746,-13.163,31.6777,6.70717
